spatial_cell_id,raw_count,normalized_count,observed_days,full_month_days,normalization_factor
CELL_2563_15537,7,26,8,30,3.75
CELL_2563_15538,1,4,8,30,3.75
CELL_2568_15528,19,71,8,30,3.75
CELL_2568_15529,97,364,8,30,3.75
CELL_2568_15530,10,38,8,30,3.75
CELL_2568_15535,7,26,8,30,3.75
CELL_2569_15534,1,4,8,30,3.75
CELL_2570_15517,1,4,8,30,3.75
CELL_2571_15517,3,11,8,30,3.75
CELL_2572_15529,1,4,8,30,3.75
CELL_2573_15506,3,11,8,30,3.75
CELL_2573_15507,10,38,8,30,3.75
CELL_2573_15530,7,26,8,30,3.75
CELL_2574_15530,10,38,8,30,3.75
CELL_2574_15531,1,4,8,30,3.75
CELL_2575_15489,1,4,8,30,3.75
CELL_2575_15508,7,26,8,30,3.75
CELL_2575_15509,6,22,8,30,3.75
CELL_2575_15511,1,4,8,30,3.75
CELL_2575_15519,24,90,8,30,3.75
CELL_2575_15527,1,4,8,30,3.75
CELL_2575_15529,3,11,8,30,3.75
CELL_2576_15500,1,4,8,30,3.75
CELL_2576_15508,1,4,8,30,3.75
CELL_2576_15509,13,49,8,30,3.75
CELL_2576_15510,1,4,8,30,3.75
CELL_2576_15519,6,22,8,30,3.75
CELL_2576_15528,22,82,8,30,3.75
CELL_2577_15512,38,142,8,30,3.75
CELL_2577_15527,3,11,8,30,3.75
CELL_2577_15528,19,71,8,30,3.75
CELL_2578_15513,1,4,8,30,3.75
CELL_2578_15514,2,8,8,30,3.75
CELL_2578_15518,1,4,8,30,3.75
CELL_2578_15519,1,4,8,30,3.75
CELL_2578_15527,35,131,8,30,3.75
CELL_2578_15531,2,8,8,30,3.75
CELL_2579_15490,3,11,8,30,3.75
CELL_2579_15514,6,22,8,30,3.75
CELL_2579_15517,1,4,8,30,3.75
CELL_2579_15519,9,34,8,30,3.75
CELL_2579_15530,2,8,8,30,3.75
CELL_2579_15535,22,82,8,30,3.75
CELL_2579_15543,10,38,8,30,3.75
CELL_2580_15489,1,4,8,30,3.75
CELL_2580_15514,3,11,8,30,3.75
CELL_2580_15518,3,11,8,30,3.75
CELL_2580_15525,1,4,8,30,3.75
CELL_2580_15528,8,30,8,30,3.75
CELL_2580_15535,9,34,8,30,3.75
CELL_2580_15540,1,4,8,30,3.75
CELL_2580_15541,5,19,8,30,3.75
CELL_2581_15508,2,8,8,30,3.75
CELL_2581_15509,2,8,8,30,3.75
CELL_2581_15514,3,11,8,30,3.75
CELL_2581_15516,2,8,8,30,3.75
CELL_2581_15517,1,4,8,30,3.75
CELL_2581_15518,1,4,8,30,3.75
CELL_2581_15520,68,255,8,30,3.75
CELL_2581_15522,1,4,8,30,3.75
CELL_2581_15525,13,49,8,30,3.75
CELL_2581_15526,2,8,8,30,3.75
CELL_2581_15527,1,4,8,30,3.75
CELL_2581_15535,2,8,8,30,3.75
CELL_2581_15537,4,15,8,30,3.75
CELL_2581_15538,1,4,8,30,3.75
CELL_2581_15539,5,19,8,30,3.75
CELL_2581_15540,1,4,8,30,3.75
CELL_2582_15496,4,15,8,30,3.75
CELL_2582_15497,1,4,8,30,3.75
CELL_2582_15510,2,8,8,30,3.75
CELL_2582_15511,4,15,8,30,3.75
CELL_2582_15514,4,15,8,30,3.75
CELL_2582_15517,3,11,8,30,3.75
CELL_2582_15520,1,4,8,30,3.75
CELL_2582_15521,7,26,8,30,3.75
CELL_2582_15522,1,4,8,30,3.75
CELL_2582_15525,14,52,8,30,3.75
CELL_2582_15526,19,71,8,30,3.75
CELL_2582_15527,45,169,8,30,3.75
CELL_2582_15528,21,79,8,30,3.75
CELL_2582_15530,1,4,8,30,3.75
CELL_2582_15535,7,26,8,30,3.75
CELL_2582_15536,14,52,8,30,3.75
CELL_2583_15508,3,11,8,30,3.75
CELL_2583_15512,11,41,8,30,3.75
CELL_2583_15513,3,11,8,30,3.75
CELL_2583_15514,17,64,8,30,3.75
CELL_2583_15515,8,30,8,30,3.75
CELL_2583_15516,5,19,8,30,3.75
CELL_2583_15517,1,4,8,30,3.75
CELL_2583_15518,3,11,8,30,3.75
CELL_2583_15519,33,124,8,30,3.75
CELL_2583_15522,6,22,8,30,3.75
CELL_2583_15523,10,38,8,30,3.75
CELL_2583_15524,2,8,8,30,3.75
CELL_2583_15526,5,19,8,30,3.75
CELL_2583_15527,1,4,8,30,3.75
CELL_2583_15530,6,22,8,30,3.75
CELL_2583_15533,3,11,8,30,3.75
CELL_2583_15534,19,71,8,30,3.75
CELL_2583_15539,2,8,8,30,3.75
CELL_2584_15502,1,4,8,30,3.75
CELL_2584_15510,2,8,8,30,3.75
CELL_2584_15511,4,15,8,30,3.75
CELL_2584_15512,3,11,8,30,3.75
CELL_2584_15514,2,8,8,30,3.75
CELL_2584_15515,1,4,8,30,3.75
CELL_2584_15516,1,4,8,30,3.75
CELL_2584_15517,24,90,8,30,3.75
CELL_2584_15520,1,4,8,30,3.75
CELL_2584_15521,8,30,8,30,3.75
CELL_2584_15522,4,15,8,30,3.75
CELL_2584_15523,4,15,8,30,3.75
CELL_2584_15524,22,82,8,30,3.75
CELL_2584_15525,1,4,8,30,3.75
CELL_2584_15526,4,15,8,30,3.75
CELL_2584_15529,2,8,8,30,3.75
CELL_2584_15530,6,22,8,30,3.75
CELL_2584_15533,3,11,8,30,3.75
CELL_2584_15534,12,45,8,30,3.75
CELL_2585_15509,8,30,8,30,3.75
CELL_2585_15510,100,375,8,30,3.75
CELL_2585_15512,3,11,8,30,3.75
CELL_2585_15513,1,4,8,30,3.75
CELL_2585_15515,1,4,8,30,3.75
CELL_2585_15516,121,454,8,30,3.75
CELL_2585_15517,30,112,8,30,3.75
CELL_2585_15518,25,94,8,30,3.75
CELL_2585_15519,2,8,8,30,3.75
CELL_2585_15521,2,8,8,30,3.75
CELL_2585_15523,7,26,8,30,3.75
CELL_2585_15524,1,4,8,30,3.75
CELL_2585_15526,12,45,8,30,3.75
CELL_2585_15535,81,304,8,30,3.75
CELL_2585_15536,35,131,8,30,3.75
CELL_2585_15537,3,11,8,30,3.75
CELL_2585_15538,4,15,8,30,3.75
CELL_2586_15508,1,4,8,30,3.75
CELL_2586_15515,19,71,8,30,3.75
CELL_2586_15516,23,86,8,30,3.75
CELL_2586_15517,1,4,8,30,3.75
CELL_2586_15520,13,49,8,30,3.75
CELL_2586_15521,24,90,8,30,3.75
CELL_2586_15522,6,22,8,30,3.75
CELL_2586_15523,5,19,8,30,3.75
CELL_2586_15524,15,56,8,30,3.75
CELL_2586_15526,126,472,8,30,3.75
CELL_2586_15537,66,248,8,30,3.75
CELL_2586_15538,51,191,8,30,3.75
CELL_2586_15539,14,52,8,30,3.75
CELL_2587_15498,1,4,8,30,3.75
CELL_2587_15503,8,30,8,30,3.75
CELL_2587_15504,17,64,8,30,3.75
CELL_2587_15506,4,15,8,30,3.75
CELL_2587_15510,7,26,8,30,3.75
CELL_2587_15512,4,15,8,30,3.75
CELL_2587_15513,1,4,8,30,3.75
CELL_2587_15514,1,4,8,30,3.75
CELL_2587_15515,64,240,8,30,3.75
CELL_2587_15516,102,382,8,30,3.75
CELL_2587_15517,2,8,8,30,3.75
CELL_2587_15518,3,11,8,30,3.75
CELL_2587_15519,9,34,8,30,3.75
CELL_2587_15520,17,64,8,30,3.75
CELL_2587_15521,6,22,8,30,3.75
CELL_2587_15522,6,22,8,30,3.75
CELL_2587_15523,34,128,8,30,3.75
CELL_2587_15525,4,15,8,30,3.75
CELL_2587_15537,1,4,8,30,3.75
CELL_2587_15538,29,109,8,30,3.75
CELL_2587_15539,21,79,8,30,3.75
CELL_2587_15540,1,4,8,30,3.75
CELL_2587_15549,3,11,8,30,3.75
CELL_2588_15504,1,4,8,30,3.75
CELL_2588_15505,4,15,8,30,3.75
CELL_2588_15509,3,11,8,30,3.75
CELL_2588_15512,14,52,8,30,3.75
CELL_2588_15513,77,289,8,30,3.75
CELL_2588_15514,174,652,8,30,3.75
CELL_2588_15515,3,11,8,30,3.75
CELL_2588_15516,11,41,8,30,3.75
CELL_2588_15517,3,11,8,30,3.75
CELL_2588_15518,16,60,8,30,3.75
CELL_2588_15519,1,4,8,30,3.75
