spatial_cell_id,congestion_risk_score,congestion_risk_category
CELL_2595_15515,65.06,CRITICAL
CELL_2592_15515,51.68,CRITICAL
CELL_2596_15522,45.82,CRITICAL
CELL_2596_15521,45.04,CRITICAL
CELL_2586_15538,43.86,CRITICAL
CELL_2594_15515,39.85,CRITICAL
CELL_2614_15517,38.42,CRITICAL
CELL_2602_15510,37.34,CRITICAL
CELL_2595_15514,36.12,CRITICAL
CELL_2596_15520,37.37,CRITICAL
CELL_2594_15509,33.82,CRITICAL
CELL_2599_15509,33.64,CRITICAL
CELL_2592_15516,32.97,CRITICAL
CELL_2601_15539,33.22,CRITICAL
CELL_2636_15535,32.48,CRITICAL
CELL_2601_15510,31.47,CRITICAL
CELL_2586_15537,34.03,CRITICAL
CELL_2593_15515,31.44,CRITICAL
CELL_2607_15517,31.45,CRITICAL
CELL_2594_15510,31.2,CRITICAL
CELL_2599_15510,30.8,CRITICAL
CELL_2596_15519,30.95,CRITICAL
CELL_2599_15533,33.34,CRITICAL
CELL_2601_15514,30.35,CRITICAL
CELL_2600_15535,31.65,CRITICAL
CELL_2587_15539,32.94,CRITICAL
CELL_2593_15514,29.54,CRITICAL
CELL_2591_15515,29.3,CRITICAL
CELL_2595_15521,29.28,CRITICAL
CELL_2595_15516,29.22,CRITICAL
CELL_2601_15538,29.85,CRITICAL
CELL_2599_15514,28.78,CRITICAL
CELL_2598_15510,28.76,CRITICAL
CELL_2600_15510,28.32,CRITICAL
CELL_2599_15522,28.35,CRITICAL
CELL_2568_15529,28.19,CRITICAL
CELL_2588_15514,28.94,CRITICAL
CELL_2590_15508,28.92,CRITICAL
CELL_2637_15536,28.24,CRITICAL
CELL_2597_15510,28.71,CRITICAL
CELL_2585_15535,28.24,CRITICAL
CELL_2593_15507,28.42,CRITICAL
CELL_2591_15540,28.21,CRITICAL
CELL_2587_15538,28.77,CRITICAL
CELL_2598_15532,28.36,CRITICAL
CELL_2601_15509,28.09,CRITICAL
CELL_2598_15514,27.93,CRITICAL
CELL_2596_15514,27.85,CRITICAL
CELL_2598_15517,28.18,CRITICAL
CELL_2592_15543,28.19,CRITICAL
CELL_2587_15523,28.25,CRITICAL
CELL_2581_15520,27.97,CRITICAL
CELL_2597_15507,28.15,CRITICAL
CELL_2597_15514,27.31,CRITICAL
CELL_2609_15515,27.75,CRITICAL
CELL_2595_15512,27.28,CRITICAL
CELL_2594_15531,27.86,CRITICAL
CELL_2578_15527,27.34,CRITICAL
CELL_2595_15511,27.19,CRITICAL
CELL_2591_15529,27.33,CRITICAL
CELL_2592_15514,27.46,CRITICAL
CELL_2594_15523,27.76,CRITICAL
CELL_2605_15514,27.5,CRITICAL
CELL_2585_15516,27.46,CRITICAL
CELL_2594_15521,27.16,CRITICAL
CELL_2599_15513,26.99,CRITICAL
CELL_2600_15514,27.02,CRITICAL
CELL_2589_15539,29.35,CRITICAL
CELL_2596_15509,27.35,CRITICAL
CELL_2593_15516,26.95,CRITICAL
CELL_2587_15516,27.19,CRITICAL
CELL_2599_15539,29.42,CRITICAL
CELL_2594_15522,26.81,CRITICAL
CELL_2585_15536,27.81,CRITICAL
CELL_2599_15508,27.15,CRITICAL
CELL_2594_15542,27.66,CRITICAL
CELL_2600_15509,26.69,HIGH
CELL_2582_15527,27.05,CRITICAL
CELL_2594_15516,27.03,CRITICAL
CELL_2601_15511,27.04,CRITICAL
CELL_2581_15525,27.61,CRITICAL
CELL_2594_15508,27.12,CRITICAL
CELL_2595_15509,26.73,HIGH
CELL_2596_15515,26.72,HIGH
CELL_2592_15519,26.98,CRITICAL
CELL_2593_15517,26.62,HIGH
CELL_2568_15528,26.6,HIGH
CELL_2594_15507,26.86,CRITICAL
CELL_2594_15524,26.53,HIGH
CELL_2590_15539,29.08,CRITICAL
CELL_2596_15511,26.88,CRITICAL
CELL_2601_15537,27.02,CRITICAL
CELL_2599_15516,26.81,CRITICAL
CELL_2603_15511,27.34,CRITICAL
CELL_2591_15503,27.28,CRITICAL
CELL_2590_15543,29.67,CRITICAL
CELL_2601_15513,26.72,HIGH
CELL_2619_15519,26.79,HIGH
CELL_2594_15519,26.97,CRITICAL
CELL_2591_15517,26.4,HIGH
CELL_2586_15526,27.69,CRITICAL
CELL_2599_15512,26.38,HIGH
CELL_2592_15507,26.64,HIGH
CELL_2599_15538,28.6,CRITICAL
CELL_2591_15543,27.16,CRITICAL
CELL_2638_15529,28.16,CRITICAL
CELL_2637_15535,27.25,CRITICAL
CELL_2592_15510,27.08,CRITICAL
CELL_2586_15516,26.31,HIGH
CELL_2587_15503,26.45,HIGH
CELL_2594_15529,27.52,CRITICAL
CELL_2583_15514,26.4,HIGH
CELL_2606_15507,28.88,CRITICAL
CELL_2585_15517,26.61,HIGH
CELL_2579_15535,26.09,HIGH
CELL_2575_15519,26.07,HIGH
CELL_2612_15517,26.51,HIGH
CELL_2592_15528,26.62,HIGH
CELL_2593_15528,26.41,HIGH
CELL_2600_15522,27.62,CRITICAL
CELL_2597_15511,26.38,HIGH
CELL_2597_15519,26.28,HIGH
CELL_2597_15521,26.26,HIGH
CELL_2606_15517,26.26,HIGH
CELL_2595_15508,26.23,HIGH
CELL_2577_15528,26.18,HIGH
CELL_2605_15508,26.28,HIGH
CELL_2582_15525,26.06,HIGH
CELL_2589_15514,26.52,HIGH
CELL_2614_15518,26.01,HIGH
CELL_2592_15529,25.97,HIGH
CELL_2612_15518,25.96,HIGH
CELL_2589_15519,26.11,HIGH
CELL_2597_15546,27.58,CRITICAL
CELL_2603_15506,27.96,CRITICAL
CELL_2596_15510,26.4,HIGH
CELL_2594_15514,26.52,HIGH
CELL_2577_15512,25.91,HIGH
CELL_2582_15526,25.85,HIGH
