spatial_cell_id,cell_lat_center,cell_lon_center,violation_count,unique_vehicles,recurrence_count,peak_hour_count,near_junction_count,avg_response_delay,hotspot_priority_score,hotspot_rank
CELL_2595_15515,12.977174498678952,77.57724233926434,20798,15870,7267,4909,20798,,0.78528,1
CELL_2592_15515,12.964019647015297,77.57703430662094,10409,8725,2645,3904,10409,,0.454029,2
CELL_2596_15521,12.981929985887286,77.60788540892628,9209,6599,3620,1168,8516,,0.411855,3
CELL_2596_15522,12.981636430976993,77.61083045111842,8674,6893,2604,1493,5356,,0.35995,4
CELL_2586_15538,12.93350883778556,77.69106253382002,6705,2748,4998,249,0,,0.337245,5
CELL_2594_15515,12.973014491826984,77.57826897568155,6833,5160,2391,576,6833,,0.326213,6
CELL_2595_15514,12.97761765765941,77.57318470159409,5144,4573,943,1231,5144,,0.272296,7
CELL_2596_15520,12.983467379635137,77.60330603512632,4836,4111,1148,821,4834,,0.260844,8
CELL_2599_15509,12.998554098145036,77.54893701827804,4611,3338,1793,335,4611,,0.259637,9
CELL_2614_15517,13.071095074501123,77.58795693779753,5378,3929,2114,695,0,,0.254935,10
CELL_2589_15549,12.9475154,77.74618325,6,5,2,6,0,,0.250127,11
CELL_2609_15516,13.04688592857143,77.58067284285714,7,7,0,7,0,,0.250087,12
CELL_2613_15511,13.069041514285717,77.55771889999998,7,7,0,7,0,,0.250087,13
CELL_2596_15503,12.980443683333334,77.51713883333333,6,6,0,6,0,,0.250072,14
CELL_2604_15503,13.024851616666666,77.51982385000001,6,6,0,6,0,,0.250072,15
CELL_2569_15531,12.8478567,77.65794908000001,5,5,0,5,0,,0.250058,16
CELL_2597_15535,12.988548375,77.679667275,4,4,0,4,0,,0.250043,17
CELL_2592_15499,12.96193145,77.4982552,4,4,0,4,0,,0.250043,18
CELL_2591_15508,12.955165,77.5447787,2,2,0,2,2,,0.250029,19
CELL_2578_15524,12.8940197,77.6201617,3,3,0,3,0,,0.250029,20
