patrol_rank,spatial_cell_id,cell_lat,cell_lon,forecasted_count,severity_score,persistence_score,persistence_score.1,stability_class,priority_score,police_station,pred_lgbm,pred_rolling,pred_lag1,ranking_basis
1,CELL_2595_15515,12.977162307899208,77.57721647242356,3181.677861192371,1.0403454133635337,1.0,0.7542252827755498,Persistent,1.200968,UPPARPET,1897.8893059618551,3485.0,3532.0,April-2024-proxy (last observed window)
2,CELL_2592_15515,12.964004749282166,77.57688813089085,2112.031180957009,1.0867768595041325,1.0,0.7149939575183688,Persistent,0.797868,CITY MARKET,1246.82257145171,2273.333333333333,2420.0,April-2024-proxy (last observed window)
3,CELL_2596_15522,12.981733459395604,77.61081055417583,1630.7331064915793,1.2118131868131867,1.0,0.6993984844709393,Persistent,0.617526,SHIVAJINAGAR,1335.332199124564,1635.3333333333333,1820.0,April-2024-proxy (last observed window)
4,CELL_2596_15521,12.981996736941024,77.60771913149708,1580.463647103298,1.1195722618276085,1.0,0.7406496333874366,Persistent,0.597382,SHIVAJINAGAR,1457.8182355164895,1652.0,1543.0,April-2024-proxy (last observed window)
5,CELL_2586_15538,12.933707119560028,77.6909288012431,1375.9848583341245,2.0454545454545454,1.0,0.2936725569739837,Volatile,0.441389,HAL OLD AIRPORT,974.5909583372892,1616.3333333333333,1243.0,April-2024-proxy (last observed window)
6,CELL_2594_15515,12.973087288459764,77.57830033187822,1166.5338665668853,1.1289248334919124,1.0,0.7626687131307462,Persistent,0.44094,UPPARPET,830.335999501093,1370.3333333333333,1051.0,April-2024-proxy (last observed window)
7,CELL_2614_15517,13.071087910668217,77.58792705713351,1063.342812810411,1.0377524143985952,1.0,0.6405074180756456,Persistent,0.401181,KODIGEHALLI,671.547397385389,1174.6666666666667,1139.0,April-2024-proxy (last observed window)
8,CELL_2602_15510,13.011887136431229,77.55344289247212,974.1395188858244,1.0650557620817844,1.0,0.5120575909889703,Persistent,0.367705,MALLESHWARAM,804.1975944291224,981.0,1076.0,April-2024-proxy (last observed window)
9,CELL_2595_15514,12.9775572119912,77.57293700913091,843.2863974013725,1.350935093509351,1.0,0.6635929780248429,Persistent,0.320095,UPPARPET,761.265320340196,836.6666666666666,909.0,April-2024-proxy (last observed window)
10,CELL_2596_15520,12.983562947294372,77.60326726861472,965.4988707937111,1.1590909090909092,1.0,0.47773923796242,Volatile,0.304271,SHIVAJINAGAR,866.4943539685556,1030.0,924.0,April-2024-proxy (last observed window)
11,CELL_2594_15509,12.97423549416346,77.54647151257161,686.9505858367725,1.1279840848806366,1.0,0.6312355990538985,Persistent,0.25955,VIJAYANAGARA,516.2529291838617,715.0,754.0,April-2024-proxy (last observed window)
12,CELL_2599_15509,12.998249071212122,77.54884574886364,667.4081674720169,1.1704545454545454,1.0,0.7656056910054962,Persistent,0.252373,VIJAYANAGARA,613.3741706934178,772.6666666666666,528.0,April-2024-proxy (last observed window)
13,CELL_2592_15516,12.963902162226328,77.58287736676185,622.1778874056056,1.101351351351351,1.0,0.8136090304185037,Persistent,0.234928,HALASURU GATE,491.8894370280279,648.0,666.0,April-2024-proxy (last observed window)
14,CELL_2601_15539,13.008243802707277,77.69579203299493,539.6791060243742,1.961082910321489,1.0,0.5275147297690401,Persistent,0.207239,K.R. PURA,502.728863455204,523.6666666666666,591.0,April-2024-proxy (last observed window)
15,CELL_2636_15535,13.184118771163575,77.67965363490724,534.652707765546,1.5109612141652613,1.0,0.6374523854206093,Persistent,0.203493,CHIKKAJALA,434.5968721610628,539.6666666666666,593.0,April-2024-proxy (last observed window)
