fold,pred_month,removed_group,recall@20,recall@50,spearman,mae_top200
3,2024-02,NONE (full model),0.7,0.82,0.6968,112.0
4,2024-03,NONE (full model),0.85,0.72,0.6756,92.4
3,2024-02,Lag,0.5,0.68,0.628,128.4
4,2024-03,Lag,0.5,0.68,0.5731,125.8
3,2024-02,Recurrence,0.7,0.82,0.6929,111.3
4,2024-03,Recurrence,0.85,0.74,0.669,92.4
3,2024-02,Station,0.65,0.82,0.6945,112.8
4,2024-03,Station,0.8,0.72,0.6777,91.3
3,2024-02,Vehicle,0.7,0.82,0.7108,115.8
4,2024-03,Vehicle,0.85,0.72,0.683,92.7
3,2024-02,Violation,0.7,0.8,0.6928,110.5
4,2024-03,Violation,0.85,0.7,0.7007,89.1
3,2024-02,Spatial,0.65,0.78,0.6934,111.0
4,2024-03,Spatial,0.85,0.72,0.6811,93.3
3,2024-02,Temporal,0.7,0.78,0.6887,116.6
4,2024-03,Temporal,0.85,0.72,0.6731,93.4
