patrol_rank,cell_lat,cell_lon,ensemble_score,pred_lgbm,pred_rolling,pred_lag1,count_lag1,rolling_mean_3m,recurrence_rate,n_active_months,persistence_score,patrol_tier
1,,,2884.8712390994237,2265.9424781988473,3485.0,3532.0,3532.0,3485.0,1.0,5,1.0,Tier 1 — High
2,,,1703.9925532986686,1075.985106597337,2273.3333333333335,2420.0,2420.0,2273.3333333333335,1.0,5,1.0,Tier 1 — High
3,,,1539.339074197299,1470.2781483945982,1652.0,1543.0,1543.0,1652.0,1.0,5,1.0,Tier 1 — High
4,,,1491.0276375332455,1272.8552750664912,1635.3333333333333,1820.0,1820.0,1635.3333333333333,1.0,5,1.0,Tier 1 — High
5,,,1241.339312745521,1240.0786254910422,1370.3333333333333,1051.0,1051.0,1370.3333333333333,1.0,5,1.0,Tier 1 — High
6,,,1236.9228683679562,1006.8457367359125,1616.3333333333333,1243.0,1243.0,1616.3333333333333,1.0,5,1.0,Tier 1 — High
7,,,1111.6404736783766,1235.680947356753,1030.0,924.0,924.0,1030.0,1.0,5,1.0,Tier 1 — High
8,,,941.4695662050297,722.5391324100593,1174.6666666666667,1139.0,1139.0,1174.6666666666667,1.0,5,1.0,Tier 1 — High
9,,,933.1331246775217,1000.6662493550432,836.6666666666666,909.0,909.0,836.6666666666666,1.0,5,1.0,Tier 1 — High
10,,,848.2465155499783,677.4930310999566,981.0,1076.0,1076.0,981.0,1.0,5,1.0,Tier 1 — High
11,,,670.597915017017,666.395830034034,772.6666666666666,528.0,528.0,772.6666666666666,1.0,5,1.0,Tier 1 — High
12,,,627.0488782912755,523.4977565825511,715.0,754.0,754.0,715.0,1.0,5,1.0,Tier 1 — High
13,,,589.1118409853796,523.0236819707591,648.0,666.0,666.0,648.0,1.0,5,1.0,Tier 1 — High
14,,,528.8618898506043,507.1237797012084,523.6666666666666,591.0,591.0,523.6666666666666,1.0,5,1.0,Tier 1 — High
15,,,517.2582463117416,517.9164926234831,489.6666666666667,557.0,557.0,489.6666666666667,1.0,5,1.0,Tier 1 — High
16,,,513.2353871873647,534.2707743747295,529.6666666666666,436.0,436.0,529.6666666666666,1.0,5,1.0,Tier 1 — High
17,,,510.17987314714424,585.5597462942884,423.3333333333333,452.0,452.0,423.3333333333333,1.0,5,1.0,Tier 1 — High
18,,,509.0944676331426,487.9889352662852,461.6666666666667,633.0,633.0,461.6666666666667,1.0,5,1.0,Tier 1 — High
19,,,494.59327274833987,460.5865454966797,578.3333333333334,454.0,454.0,578.3333333333334,1.0,5,1.0,Tier 1 — High
20,,,494.2362900458768,427.4725800917536,539.6666666666666,593.0,593.0,539.6666666666666,1.0,5,1.0,Tier 1 — High
21,,,482.8246770306368,476.0493540612736,462.0,531.0,531.0,462.0,1.0,5,1.0,Tier 1 — High
22,,,475.0418848970424,498.6837697940848,395.0,536.0,536.0,395.0,1.0,5,1.0,Tier 1 — High
23,,,455.4588466710436,500.9176933420873,372.0,467.0,467.0,372.0,1.0,5,1.0,Tier 1 — High
24,,,449.21021613381305,471.2204322676261,446.0,399.0,399.0,446.0,1.0,5,1.0,Tier 1 — High
25,,,441.4724732549448,467.1449465098896,438.3333333333333,382.0,382.0,438.3333333333333,1.0,5,1.0,Tier 1 — High
26,,,408.05359978088944,412.3071995617788,387.6666666666667,428.0,428.0,387.6666666666667,1.0,5,1.0,Tier 1 — High
27,,,328.5802007175339,311.5604014350678,366.0,315.0,315.0,366.0,1.0,5,1.0,Tier 1 — High
28,,,320.65767174750647,327.9153434950129,274.3333333333333,372.0,372.0,274.3333333333333,1.0,5,1.0,Tier 1 — High
29,,,318.7785446307406,278.7570892614812,348.0,375.0,375.0,348.0,1.0,5,1.0,Tier 1 — High
30,,,307.0176967096473,265.6353934192946,390.0,286.0,286.0,390.0,1.0,5,1.0,Tier 1 — High
31,,,300.3852491625034,226.37049832500682,397.3333333333333,340.0,340.0,397.3333333333333,1.0,5,1.0,Tier 1 — High
32,,,280.0527319172309,240.50546383446184,362.6666666666667,255.0,255.0,362.6666666666667,1.0,5,1.0,Tier 1 — High
33,,,269.6330383087703,278.8660766175406,222.0,318.0,318.0,222.0,1.0,5,1.0,Tier 1 — High
34,,,265.2926557691542,205.98531153830834,351.0,285.0,285.0,351.0,1.0,5,1.0,Tier 1 — High
35,,,256.7061256882596,288.01225137651915,165.66666666666666,315.0,315.0,165.66666666666666,1.0,5,1.0,Tier 1 — High
36,,,248.23068112580702,180.26136225161412,328.3333333333333,298.0,298.0,328.3333333333333,1.0,5,1.0,Tier 1 — High
37,,,244.09686568528144,199.7937313705629,317.3333333333333,245.0,245.0,317.3333333333333,1.0,5,1.0,Tier 1 — High
38,,,239.07085931346944,210.9417186269389,240.66666666666666,307.0,307.0,240.66666666666666,1.0,5,1.0,Tier 1 — High
39,,,233.0146577786235,255.02931555724703,179.66666666666666,258.0,258.0,179.66666666666666,1.0,5,1.0,Tier 1 — High
40,,,232.18941700746512,201.57883401493024,296.6666666666667,212.0,212.0,296.6666666666667,1.0,5,1.0,Tier 1 — High
41,,,230.51357282861136,193.82714565722273,332.6666666666667,169.0,169.0,332.6666666666667,1.0,5,1.0,Tier 1 — High
42,,,224.84934663563163,179.89869327126326,311.6666666666667,207.0,207.0,311.6666666666667,1.0,5,1.0,Tier 1 — High
43,,,218.2013240911732,230.20264818234642,180.33333333333334,245.0,245.0,180.33333333333334,1.0,5,1.0,Tier 1 — High
44,,,217.21218129811075,162.6243625962215,353.6666666666667,149.0,149.0,353.6666666666667,1.0,5,1.0,Tier 1 — High
45,,,213.5741304425781,174.94826088515617,281.0,209.0,209.0,281.0,1.0,5,1.0,Tier 1 — High
46,,,212.8808930371425,147.96178607428502,298.3333333333333,247.0,247.0,298.3333333333333,1.0,5,1.0,Tier 1 — High
47,,,211.97084612042082,155.94169224084166,323.3333333333333,185.0,185.0,323.3333333333333,1.0,5,1.0,Tier 1 — High
48,,,204.65795958253483,175.71591916506964,223.33333333333334,249.0,249.0,223.33333333333334,1.0,5,1.0,Tier 1 — High
49,,,199.37679707858342,122.7535941571668,286.0,261.0,261.0,286.0,1.0,5,1.0,Tier 1 — High
50,,,198.36340116800167,144.72680233600335,287.3333333333333,199.0,199.0,287.3333333333333,1.0,5,1.0,Tier 1 — High
51,,,197.29955289822033,193.99910579644063,181.66666666666666,229.0,229.0,181.66666666666666,1.0,5,1.0,Tier 1 — High
52,,,194.37765750914022,144.7553150182804,237.33333333333334,254.0,254.0,237.33333333333334,1.0,5,1.0,Tier 1 — High
53,,,191.52642164177496,143.25284328354994,266.3333333333333,200.0,200.0,266.3333333333333,1.0,5,1.0,Tier 1 — High
54,,,184.4562209028531,196.51244180570617,111.33333333333333,264.0,264.0,111.33333333333333,1.0,5,1.0,Tier 1 — High
55,,,182.0757709575238,178.35154191504753,163.66666666666666,219.0,219.0,163.66666666666666,1.0,5,1.0,Tier 1 — High
56,,,181.12830341342126,197.85660682684252,152.66666666666666,182.0,182.0,152.66666666666666,1.0,5,1.0,Tier 1 — High
57,,,180.58117466198024,155.76234932396048,181.66666666666666,241.0,241.0,181.66666666666666,1.0,5,1.0,Tier 1 — High
58,,,178.3164700132853,139.43294002657063,253.33333333333334,163.0,163.0,253.33333333333334,1.0,5,1.0,Tier 1 — High
59,,,178.21202491256253,166.42404982512505,130.0,280.0,280.0,130.0,1.0,5,1.0,Tier 1 — High
60,,,168.07569219695318,141.35138439390636,183.33333333333334,212.0,212.0,183.33333333333334,1.0,5,1.0,Tier 1 — High
61,,,163.10666732460206,162.6133346492041,177.33333333333334,143.0,143.0,177.33333333333334,1.0,5,1.0,Tier 1 — High
