model,recall@20,recall@50,spearman_top100,ndcg@20,mae_top200,rmse_top200,fold,pred_month,is_primary,lgbm_valid,note
global_mean,0.0,0.06,,0.0354,202.0,461.4,1,2023-12,False,True,
lag1_persistence,0.8,0.74,0.6789,0.9528,113.2,186.1,1,2023-12,False,True,
rolling_mean_3m,0.8,0.74,0.6789,0.9528,113.2,186.1,1,2023-12,False,True,
rule_score,0.8,0.74,0.6789,0.9528,133.1,228.0,1,2023-12,False,True,
lightgbm_poisson,1.0,0.96,0.9984,1.0,6.1,14.0,1,2023-12,False,False,"INVALID: trained and tested on same data (only 1 training month available — recall@20=1.0 is overfit, not a real result)"
global_mean,0.05,0.04,,0.0309,214.1,504.9,2,2024-01,False,True,
lag1_persistence,0.8,0.78,0.8111,0.954,97.3,190.5,2,2024-01,False,True,
rolling_mean_3m,0.8,0.78,0.8078,0.9486,91.8,195.8,2,2024-01,False,True,
rule_score,0.8,0.8,0.818,0.9569,104.6,224.2,2,2024-01,False,True,
lightgbm_poisson,0.85,0.76,0.7646,0.7699,134.5,285.9,2,2024-01,False,True,
global_mean,0.05,0.06,,0.0404,162.7,357.6,3,2024-02,True,True,
lag1_persistence,0.65,0.8,0.6904,0.9288,107.5,211.3,3,2024-02,True,True,
rolling_mean_3m,0.7,0.82,0.7486,0.9513,84.2,162.3,3,2024-02,True,True,
rule_score,0.65,0.82,0.7199,0.9493,80.2,129.4,3,2024-02,True,True,
lightgbm_poisson,0.65,0.82,0.7032,0.9375,115.3,232.7,3,2024-02,True,True,
global_mean,0.0,0.04,,0.0162,173.8,415.8,4,2024-03,True,True,
lag1_persistence,0.75,0.8,0.7492,0.9629,72.6,118.0,4,2024-03,True,True,
rolling_mean_3m,0.75,0.72,0.7257,0.9695,71.9,108.7,4,2024-03,True,True,
rule_score,0.8,0.78,0.7516,0.9832,76.5,141.0,4,2024-03,True,True,
lightgbm_poisson,0.75,0.74,0.6905,0.9618,105.0,171.9,4,2024-03,True,True,
global_mean,0.0,0.06,,0.0225,200.4,543.7,5,2024-04,False,True,
lag1_persistence,0.65,0.74,0.6205,0.9333,119.3,239.1,5,2024-04,False,True,
rolling_mean_3m,0.65,0.7,0.5818,0.9195,123.1,258.5,5,2024-04,False,True,
rule_score,0.7,0.72,0.6258,0.9375,122.7,283.8,5,2024-04,False,True,
lightgbm_poisson,0.65,0.74,0.5845,0.9077,131.8,327.8,5,2024-04,False,True,
