patrol_rank,spatial_cell_id,cell_lat,cell_lon,predicted_count,priority_score,police_station,stability_class
1,CELL_2595_15515,12.977162307899208,77.57721647242356,3181.677861192371,1.200968,UPPARPET,Persistent
2,CELL_2592_15515,12.964004749282166,77.57688813089085,2112.031180957009,0.797868,CITY MARKET,Persistent
3,CELL_2596_15522,12.981733459395604,77.61081055417583,1630.7331064915793,0.617526,SHIVAJINAGAR,Persistent
4,CELL_2596_15521,12.981996736941024,77.60771913149708,1580.463647103298,0.597382,SHIVAJINAGAR,Persistent
5,CELL_2586_15538,12.933707119560028,77.6909288012431,1375.9848583341245,0.441389,HAL OLD AIRPORT,Volatile
6,CELL_2594_15515,12.973087288459764,77.57830033187822,1166.5338665668853,0.44094,UPPARPET,Persistent
7,CELL_2614_15517,13.071087910668217,77.58792705713351,1063.342812810411,0.401181,KODIGEHALLI,Persistent
8,CELL_2602_15510,13.011887136431227,77.55344289247212,974.1395188858245,0.367705,MALLESHWARAM,Persistent
9,CELL_2595_15514,12.977557211991199,77.57293700913091,843.2863974013725,0.320095,UPPARPET,Persistent
10,CELL_2596_15520,12.983562947294372,77.60326726861472,965.4988707937111,0.304271,SHIVAJINAGAR,Volatile
11,CELL_2594_15509,12.974235494163459,77.54647151257161,686.9505858367725,0.25955,VIJAYANAGARA,Persistent
12,CELL_2599_15509,12.998249071212122,77.54884574886364,667.4081674720169,0.252373,VIJAYANAGARA,Persistent
13,CELL_2592_15516,12.963902162226328,77.58287736676185,622.1778874056056,0.234928,HALASURU GATE,Persistent
14,CELL_2601_15539,13.008243802707275,77.69579203299493,539.6791060243742,0.207239,K.R. PURA,Persistent
15,CELL_2636_15535,13.184118771163575,77.67965363490724,534.652707765546,0.203493,CHIKKAJALA,Persistent
16,CELL_2601_15510,13.008420432859399,77.55451193412323,511.27332176660093,0.19274,MALLESHWARAM,Persistent
17,CELL_2586_15537,12.931875639629013,77.68738436654637,489.97345002715844,0.191664,HAL OLD AIRPORT,Persistent
18,CELL_2593_15515,12.968385393734588,77.57663545386495,506.4484713366977,0.190992,CITY MARKET,Persistent
19,CELL_2607_15517,13.035671033213646,77.58911497235188,497.2566036148943,0.187845,HEBBALA,Persistent
20,CELL_2594_15510,12.97359337821101,77.55112304518349,482.7810952983091,0.1822,MAGADI ROAD,Persistent
21,CELL_2599_15510,12.997766326031536,77.55212251938076,452.96180004294393,0.170885,MALLESHWARAM,Persistent
22,CELL_2596_15519,12.981306411504423,77.5985006920354,444.4299471877878,0.168221,SHIVAJINAGAR,Persistent
23,CELL_2599_15533,12.996191101074139,77.66841120666122,428.32810202602565,0.167698,MAHADEVAPURA,Persistent
24,CELL_2601_15514,13.007456024310777,77.57104248471178,423.0528007450262,0.15941,MALLESHWARAM,Persistent
25,CELL_2600_15535,13.000438515437454,77.67714695214083,405.572949221128,0.15592,MAHADEVAPURA,Persistent
26,CELL_2587_15539,12.93948559657898,77.69611288064148,420.7411738652423,0.136736,HAL OLD AIRPORT,Volatile
27,CELL_2593_15514,12.967532527733333,77.57428468719999,337.868866451988,0.127708,CHAMARAJPET,Persistent
28,CELL_2591_15515,12.958678167352941,77.57688294382353,337.8133413642786,0.127276,CITY MARKET,Persistent
29,CELL_2595_15521,12.979575086984127,77.60728220666667,333.6070036388776,0.125747,SHIVAJINAGAR,Persistent
30,CELL_2595_15516,12.977516435314685,77.58084869930069,328.1195132171564,0.12369,UPPARPET,Persistent
31,CELL_2601_15538,13.008386913348964,77.69401675681266,308.5213013950282,0.117639,K.R. PURA,Persistent
32,CELL_2599_15514,12.99837342491228,77.57143470070176,299.52544297505705,0.112775,MALLESHWARAM,Persistent
33,CELL_2598_15510,12.992897099328859,77.55321315838925,294.3142906308357,0.110866,RAJAJINAGAR,Persistent
34,CELL_2600_15510,13.001788483075835,77.55067553877642,264.219232873445,0.099424,MALLESHWARAM,Persistent
35,CELL_2599_15522,12.996906692924528,77.6131779221698,254.08363385652444,0.095804,PULIKESHINAGAR(F.TOWN),Persistent
36,CELL_2568_15529,12.84173203713355,77.64680106840392,252.5111122370211,0.09503,ELECTRONIC CITY,Persistent
37,CELL_2588_15514,12.94323030235294,77.57131893215687,300.45105942954774,0.094451,BASAVANAGUDI,Volatile
38,CELL_2590_15508,12.952999495434115,77.54194846645234,247.5117240736904,0.094131,BYATARAYANAPURA,Persistent
39,CELL_2637_15536,13.187320170881225,77.68040907586207,249.42409693519315,0.093978,CHIKKAJALA,Persistent
40,CELL_2597_15510,12.98747661304761,77.55265809416206,246.87141560727676,0.093636,RAJAJINAGAR,Persistent
41,CELL_2585_15535,12.926566110270269,77.67793705837838,247.7993891897674,0.093383,BELLANDUR,Persistent
42,CELL_2593_15507,12.96727188047467,77.53671446044065,243.08274992649618,0.091902,VIJAYANAGARA,Persistent
43,CELL_2591_15540,12.957448576884422,77.70168362613066,232.61830099346236,0.087842,HAL OLD AIRPORT,Persistent
44,CELL_2587_15538,12.93592184499263,77.69155177939967,224.43591255399858,0.08548,HAL OLD AIRPORT,Persistent
45,CELL_2598_15532,12.993635866081698,77.66292462479798,267.0599799847247,0.083756,BANASWADI,Volatile
46,CELL_2601_15509,13.007962984738956,77.54860816024096,221.1172758917532,0.083504,RAJAJINAGAR,Persistent
47,CELL_2598_15514,12.991600403543307,77.57247231929134,221.2738100493366,0.083392,SHESHADRIPURAM,Persistent
48,CELL_2596_15514,12.98040488992248,77.5744258511628,210.5792176070014,0.079402,UPPARPET,Persistent
49,CELL_2598_15517,12.993432524852071,77.58896158106509,252.79961505796535,0.079266,HIGH GROUND,Volatile
50,CELL_2592_15543,12.963920829530203,77.71741470067114,250.8255153882639,0.078678,HAL OLD AIRPORT,Volatile
