violation_A,violation_B,co_occurrence_count
PARKING IN A MAIN ROAD,WRONG PARKING,15641
NO PARKING,PARKING IN A MAIN ROAD,11263
NO PARKING,WRONG PARKING,5570
DEFECTIVE NUMBER PLATE,WRONG PARKING,4769
DEFECTIVE NUMBER PLATE,NO PARKING,3337
PARKING ON FOOTPATH,WRONG PARKING,2558
NO PARKING,PARKING ON FOOTPATH,1908
NO PARKING,PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,1566
DOUBLE PARKING,WRONG PARKING,1400
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,WRONG PARKING,1325
DOUBLE PARKING,NO PARKING,1211
NO PARKING,PARKING NEAR ROAD CROSSING,1085
PARKING NEAR ROAD CROSSING,WRONG PARKING,1077
PARKING IN A MAIN ROAD,PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,1075
DOUBLE PARKING,PARKING IN A MAIN ROAD,842
DEFECTIVE NUMBER PLATE,PARKING IN A MAIN ROAD,796
REFUSE TO GO FOR HIRE,WRONG PARKING,759
PARKING IN A MAIN ROAD,PARKING NEAR ROAD CROSSING,707
PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,WRONG PARKING,439
NO PARKING,PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS,352
PARKING IN A MAIN ROAD,PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,327
NO PARKING,PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,320
PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS,WRONG PARKING,303
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,PARKING NEAR ROAD CROSSING,265
PARKING IN A MAIN ROAD,PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS,264
DOUBLE PARKING,PARKING ON FOOTPATH,263
DEFECTIVE NUMBER PLATE,REFUSE TO GO FOR HIRE,260
PARKING NEAR ROAD CROSSING,PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS,255
PARKING OTHER THAN BUS STOP,WRONG PARKING,221
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,204
DEMANDING EXCESS FARE,WRONG PARKING,204
DEMANDING EXCESS FARE,REFUSE TO GO FOR HIRE,201
DEFECTIVE NUMBER PLATE,PARKING ON FOOTPATH,200
DOUBLE PARKING,PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,197
DOUBLE PARKING,PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,194
NO PARKING,USING BLACK FILM/OTHER MATERIALS,193
PARKING IN A MAIN ROAD,PARKING ON FOOTPATH,181
NO PARKING,REFUSE TO GO FOR HIRE,180
DEFECTIVE NUMBER PLATE,PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,175
PARKING NEAR ROAD CROSSING,PARKING ON FOOTPATH,162
PARKING NEAR ROAD CROSSING,PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,148
DOUBLE PARKING,PARKING NEAR ROAD CROSSING,131
DEFECTIVE NUMBER PLATE,DOUBLE PARKING,114
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS,92
PARKING IN A MAIN ROAD,USING BLACK FILM/OTHER MATERIALS,87
USING BLACK FILM/OTHER MATERIALS,WRONG PARKING,83
PARKING IN A MAIN ROAD,REFUSE TO GO FOR HIRE,80
DEFECTIVE NUMBER PLATE,PARKING NEAR ROAD CROSSING,78
DEFECTIVE NUMBER PLATE,DEMANDING EXCESS FARE,74
PARKING ON FOOTPATH,PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,69
