junction_name,total_cases,n_approved,n_rejected,n_unresolved,avg_response_min,median_response_min,avg_closure_min,avg_validation_min,n_negative_response,approval_rate,rejection_rate,unresolved_rate
BTP051 - Safina Plaza Junction,15449,5882,3407,6160,,,,5549.110878322014,0,38.07,22.05,39.87
BTP082 - KR Market Junction,11538,3783,1857,5898,,,,7588.815868338298,0,32.79,16.09,51.12
BTP040 - Elite Junction,10718,4705,1323,4690,,,,5035.396902530903,0,43.9,12.34,43.76
BTP044 - Sagar Theatre Junction,10549,4468,1482,4599,,,,5677.995989757507,0,42.35,14.05,43.6
BTP211 - Central Street Junction,5388,2252,1203,1933,,,,4831.796833328694,0,41.8,22.33,35.88
BTP058 - Subbanna Junction,5189,2318,661,2210,,,,4728.535825335481,0,44.67,12.74,42.59
BTP027 - Modi Bridge Junction,4584,1586,790,2208,,,,5444.785281710915,0,34.6,17.23,48.17
BTP020 - Hosahalli Metro Station,4101,1823,954,1324,,,,6243.693725768076,0,44.45,23.26,32.28
BTP057 - Anand Rao Junction,3935,1813,622,1500,,,,5025.380773582677,0,46.07,15.81,38.12
"BTP080 - NR Road, SP Road Junction",3681,1278,654,1749,,,,6323.876761722142,0,34.72,17.77,47.51
BTP045 - Danvanthri Road Junction,3181,1507,568,1106,,,,4076.319717086386,0,47.38,17.86,34.77
"BTP001 - 10th Cross, Dr. Rajkumar Road",2812,1095,345,1372,,,,6463.6368285839935,0,38.94,12.27,48.79
"BTP083 - AS Char Street, Mysore Road",2778,1044,451,1283,,,,8061.971909274711,0,37.58,16.23,46.18
BTP032 - Windsor Circle,2749,1526,472,751,,,,4215.210484050613,0,55.51,17.17,27.32
"BTP016 - 5th Main Road, RPC Layout",2474,1273,609,592,,,,4784.516008524704,0,51.46,24.62,23.93
"BTP070 - Cholurpalya Junction, Magadi Road",2272,892,624,756,,,,6992.562925971878,0,39.26,27.46,33.27
BTP042 - Minsk Square Junction (CTO),2044,868,226,950,,,,5768.7664838168375,0,42.47,11.06,46.48
BTP038 - Mysore Bank Junction,2021,1053,359,609,,,,4279.230034610169,0,52.1,17.76,30.13
BTP023 - Mahalaxmi Layout Entrance,1807,624,236,947,,,,7791.643689123809,0,34.53,13.06,52.41
BTP108 - Tagore Park Junction,1801,702,265,834,,,,5019.312860955147,0,38.98,14.71,46.31
BTP043 - Upparpet Junction,1786,709,349,728,,,,4325.576385576634,0,39.7,19.54,40.76
BTP048 - Shanthala Junction,1593,565,332,696,,,,6457.363144755004,0,35.47,20.84,43.69
BTP104 - Medical College Circle,1508,539,313,656,,,,6373.991527829278,0,35.74,20.76,43.5
