police_station,total_cases,n_approved,n_rejected,n_unresolved,avg_response_min,median_response_min,avg_closure_min,avg_validation_min,n_negative_response,approval_rate,rejection_rate,unresolved_rate
UPPARPET,34468,15396,4797,14275,,,,4985.476053251646,0,44.67,13.92,41.42
SHIVAJINAGAR,28044,11021,5660,11363,,,,5344.744625958887,0,39.3,20.18,40.52
MALLESHWARAM,22200,8470,3080,10650,,,,5576.866973680584,0,38.15,13.87,47.97
HAL OLD AIRPORT,20819,7743,3622,9454,,,,7585.9911521681215,0,37.19,17.4,45.41
CITY MARKET,17646,6162,2963,8521,,,,6794.285527732155,0,34.92,16.79,48.29
VIJAYANAGARA,14652,6248,3003,5401,,,,6284.330500525596,0,42.64,20.5,36.86
RAJAJINAGAR,10998,4034,1876,5088,,,,5502.799192025045,0,36.68,17.06,46.26
KODIGEHALLI,10916,2354,1664,6898,,,,4525.82222760854,0,21.56,15.24,63.19
MAGADI ROAD,8558,3302,1704,3552,,,,6178.464688810924,0,38.58,19.91,41.51
JEEVANBHEEMANAGAR,6736,3104,878,2754,,,,5196.907634024139,0,46.08,13.03,40.88
K.R. PURA,6546,2176,1181,3189,,,,4895.78618606993,0,33.24,18.04,48.72
HALASURU GATE,6294,2331,1092,2871,,,,5676.716593360881,0,37.04,17.35,45.61
MAHADEVAPURA,6187,2153,988,3046,,,,5826.541545539287,0,34.8,15.97,49.23
CHIKKAJALA,5834,2235,1009,2590,,,,5714.919196907418,0,38.31,17.3,44.39
HSR LAYOUT,5018,1921,1069,2028,,,,4689.053843850612,0,38.28,21.3,40.41
BELLANDUR,4964,1925,853,2186,,,,4973.922581319115,0,38.78,17.18,44.04
HIGH GROUND,4951,2544,812,1595,,,,4401.423824648089,0,51.38,16.4,32.22
BYATARAYANAPURA,4555,1706,1041,1808,,,,4649.745953105219,0,37.45,22.85,39.69
ELECTRONIC CITY,4333,1235,738,2360,,,,7083.521927726982,0,28.5,17.03,54.47
PULIKESHINAGAR(F.TOWN),4136,1583,847,1706,,,,6897.260150336764,0,38.27,20.48,41.25
HALASUR,4011,1793,614,1604,,,,4856.276403184335,0,44.7,15.31,39.99
JAYANAGARA,3813,1592,589,1632,,,,5224.342402819521,0,41.75,15.45,42.8
CHAMARAJPET,3795,1387,671,1737,,,,7444.606697962454,0,36.55,17.68,45.77
BANASWADI,3759,1313,569,1877,,,,6128.531712867225,0,34.93,15.14,49.93
BASAVANAGUDI,3604,1376,453,1775,,,,5154.408042374784,0,38.18,12.57,49.25
ASHOK NAGAR,3524,1695,592,1237,,,,4551.409091631386,0,48.1,16.8,35.1
ADUGODI,3332,1095,396,1841,,,,8643.007854533844,0,32.86,11.88,55.25
CUBBON PARK,3255,1376,457,1422,,,,4695.973928762572,0,42.27,14.04,43.69
HEBBALA,3209,1028,365,1816,,,,5642.391637559323,0,32.03,11.37,56.59
WILSON GARDEN,3108,1104,298,1706,,,,5108.949838636364,0,35.52,9.59,54.89
SHESHADRIPURAM,3090,1260,446,1384,,,,7616.658137626262,0,40.78,14.43,44.79
MICO LAYOUT,2588,1197,357,1034,,,,4463.962039876543,0,46.25,13.79,39.95
YESHWANTHPURA,2587,1126,420,1041,,,,6926.266791072174,0,43.53,16.24,40.24
YELAHANKA,2440,1159,496,785,,,,5552.209066013461,0,47.5,20.33,32.17
HULIMAVU,2395,750,328,1317,,,,8669.673426417034,0,31.32,13.7,54.99
WHITEFIELD,2303,720,400,1183,,,,7901.207771055556,0,31.26,17.37,51.37
R.T. NAGAR,1736,927,356,453,,,,3954.527897112462,0,53.4,20.51,26.09
J.P. NAGAR,1637,648,333,656,,,,7336.644816318754,0,39.58,20.34,40.07
MADIWALA,1563,492,311,760,,,,7370.437933807756,0,31.48,19.9,48.62
V.V.PURAM (C.PET),1556,431,165,960,,,,10203.39025760188,0,27.7,10.6,61.7
SADASHIVANAGAR,1445,498,179,768,,,,4481.182690157094,0,34.46,12.39,53.15
KAMAKSHIPALYA,1431,632,238,561,,,,7878.662859301442,0,44.16,16.63,39.2
BANASHANKARI,1202,524,180,498,,,,5277.899555390835,0,43.59,14.98,41.43
JALAHALLI,1160,426,211,523,,,,4239.707800909961,0,36.72,18.19,45.09
JNANABHARATHI,1063,587,160,316,,,,4714.284961323156,0,55.22,15.05,29.73
PEENYA,974,360,229,385,,,,6468.468803903441,0,36.96,23.51,39.53
DEVANAHALLI AIRPORT,940,313,163,464,,,,8108.8356314024395,0,33.3,17.34,49.36
HENNURU,892,300,149,443,,,,6204.571762967033,0,33.63,16.7,49.66
K.G. HALLI,892,299,214,379,,,,7378.400879383602,0,33.52,23.99,42.49
THALAGATTAPURA,870,389,118,363,,,,6214.755162580438,0,44.71,13.56,41.72
K.S. LAYOUT,828,341,120,367,,,,9428.653215438597,0,41.18,14.49,44.32
CHIKKABANAVARA,785,299,173,313,,,,7006.8698254476585,0,38.09,22.04,39.87
KENGERI,464,230,69,165,,,,7956.66319812362,0,49.57,14.87,35.56
NO POLICE STATION,339,90,58,191,,,,4011.811395548654,0,26.55,17.11,56.34
